School.Name,State,School.Sector,School.Type,Geolocation,ICSEA,Full.Time.Teaching.Staff,Full.Time.Non.Teaching.Staff,Total.Enrolments,Girls.Enrolments,Boys.Enrolments,Indigenous.Enrolments.Percentage,LBOTE.Percentage
Devonport Christian School,TAS,Independent,Primary,Inner Regional,1016,8.8,8.7,155,89,66,14,5
St Finn Barr's Catholic Primary School,TAS,Catholic,Primary,Inner Regional,995,17.5,6.9,287,144,143,9,13
Giant Steps Tasmania,TAS,Independent,Special,Outer Regional,949,5.8,20.8,40,4,36,8,0
Dominic College,TAS,Catholic,Combined,Inner Regional,1009,61.6,32.6,889,473,416,6,15
Mount Carmel College,TAS,Catholic,Combined,Inner Regional,1054,39.9,18.7,561,550,11,4,8
Sacred Heart College,TAS,Catholic,Combined,Inner Regional,1023,62.3,32.5,883,436,447,4,18
Dodges Ferry Primary School,TAS,Government,Primary,Inner Regional,978,26.6,15.6,487,237,250,8,2
Exeter Primary School,TAS,Government,Primary,Outer Regional,973,23.3,15.6,418,194,224,8,3
Illawarra Primary School,TAS,Government,Primary,Inner Regional,1063,25.9,14,450,200,250,6,10
OneSchool Global Tas,TAS,Independent,Combined,Inner Regional,976,14.8,7.9,133,59,74,0,0
Beaconsfield Primary School,TAS,Government,Primary,Outer Regional,925,18.1,12,258,127,131,9,1
Newstead Christian School,TAS,Independent,Combined,Inner Regional,1057,9.6,5.7,97,51,46,0,8
St Virgil's College,TAS,Catholic,Combined,Inner Regional,1024,62.8,41.9,784,0,784,4,4
Peregrine,TAS,Independent,Primary,Outer Regional,1071,9.2,5.2,87,35,52,6,8
Mountain Heights School,TAS,Government,Combined,Remote,887,25.2,17.1,180,89,91,16,2
St Brendan-Shaw College,TAS,Catholic,Secondary,Inner Regional,1013,51.7,23.9,584,298,286,10,4
St Patrick's College,TAS,Catholic,Secondary,Inner Regional,1021,116.7,54.4,1405,701,704,4,9
Marist Regional College,TAS,Catholic,Secondary,Outer Regional,1013,60.7,33.5,763,403,360,11,5
Cape Barren Island School,TAS,Government,Combined,Very Remote,,2,1,5,3,2,100,0
Calvin Christian School,TAS,Independent,Combined,Inner Regional,1079,40,21.7,496,240,256,2,7
Sunrise Christian School Fullarton,SA,Independent,Primary,Major Cities,1127,10.7,6.2,176,87,89,0,16
Ngaanyatjarra Lands School,WA,Government,Combined,Very Remote,,43,14.5,337,161,176,99,
Emmanuel Christian School,TAS,Independent,Combined,Inner Regional,997,15,9.8,205,92,113,7,3
Northern Christian School,TAS,Independent,Primary,Inner Regional,961,9.6,9.8,161,85,76,19,1
Channel Christian School,TAS,Independent,Primary,Inner Regional,1027,5.8,6.5,76,36,40,5,9
Saint Mary MacKillop College Albury,NSW,Independent,Combined,Inner Regional,1077,14.1,5.4,182,101,81,0,11
St Dominic Savio School,NSW,Independent,Primary,Major Cities,1048,3,0.4,24,10,14,0,70
Saint Mary MacKillop Colleges Limited,NSW,Independent,Combined,Inner Regional,1092,12.5,1.6,136,64,72,0,39
St Philomena School,QLD,Independent,Combined,Major Cities,1072,16.8,5.4,232,108,124,0,40
Darkan Primary School,WA,Government,Primary,Outer Regional,958,6.4,3.5,91,47,44,4,
Sir David Brand School,WA,Government,Special,Major Cities,1001,10.8,34.3,51,12,39,8,
Divine Mercy College,WA,Independent,Combined,Major Cities,1056,26.4,9.1,380,181,199,0,62
Port Neill Primary School,SA,Government,Primary,Remote,983,1.8,1.7,13,6,7,8,0
Thebarton Senior College,SA,Government,Secondary,Major Cities,978,102.7,25.4,1287,716,571,2,69
Sunrise Christian School Marion,SA,Independent,Combined,Major Cities,1076,17.3,8.3,255,129,126,2,43
O'Connor Cooperative School,ACT,Government,Primary,Major Cities,1133,6.2,2.5,53,20,33,6,17
Erindale College,ACT,Government,Secondary,Major Cities,1022,40.4,16.1,507,252,255,9,17
Hawker College,ACT,Government,Secondary,Major Cities,1049,37.2,15.4,463,252,211,4,20
Narrabundah College,ACT,Government,Secondary,Major Cities,1118,64.3,11,903,491,412,1,56
Southern Cross Early Childhood School,ACT,Government,Primary,Major Cities,1076,10.9,6.7,129,53,76,2,35
Lyons Early Childhood School,ACT,Government,Primary,Major Cities,1090,7.4,6.1,64,24,40,11,38
Narrabundah Early Childhood School,ACT,Government,Primary,Major Cities,1033,6.8,5.4,72,30,42,15,26
Caroline Chisholm School,ACT,Government,Combined,Major Cities,989,59.8,27.1,673,327,346,9,30
Isabella Plains Early Childhood School,ACT,Government,Primary,Major Cities,1053,10.6,5.4,106,54,52,6,37
The Canberra College,ACT,Government,Secondary,Major Cities,1070,77.3,24.3,1109,598,511,4,22
Daramalan College,ACT,Independent,Secondary,Major Cities,1106,113.1,36.2,1383,615,768,1,20
Marist College Canberra,ACT,Independent,Combined,Major Cities,1131,114.8,50.3,1619,0,1619,1,8
St Edmund's College Canberra,ACT,Independent,Combined,Major Cities,1061,58.2,38.9,741,0,741,4,4
Darwin High School,NT,Government,Secondary,Outer Regional,1047,87.3,36.4,1266,695,571,5,48
Northern Territory School of Distance Education,NT,Government,Secondary,Outer Regional,985,34.7,11.6,39,26,13,15,30
Centralian Senior College,NT,Government,Secondary,Remote,891,36.5,27.1,424,221,203,51,32
Woolaning School,NT,Government,Primary,Remote,691,1,0,8,5,3,100,100
Araluen Christian College,NT,Independent,Combined,Remote,1014,7.4,5.2,158,79,79,15,37
Holy Family Catholic Primary School,NT,Catholic,Primary,Outer Regional,964,14,17.5,240,127,113,28,31
Holy Spirit Catholic Primary School,NT,Catholic,Primary,Outer Regional,1068,12.9,11.2,233,107,126,11,39
O'Loughlin Catholic College,NT,Catholic,Secondary,Outer Regional,1021,48.8,36.2,584,276,308,14,24
Our Lady of the Sacred Heart Catholic College,NT,Catholic,Combined,Remote,1020,59,37.9,733,373,360,11,38
Sacred Heart Catholic Primary School,NT,Catholic,Primary,Outer Regional,1001,14.6,12,225,107,118,13,18
St Francis of Assisi Catholic Primary School,NT,Catholic,Primary,Outer Regional,997,7.6,7.7,106,50,56,12,6
St John's Catholic College,NT,Catholic,Secondary,Outer Regional,884,23.5,24,197,100,97,41,60
St Joseph's Catholic College,NT,Catholic,Combined,Remote,940,19.7,18.1,216,123,93,31,27
St Mary's Catholic Primary School,NT,Catholic,Primary,Outer Regional,1083,10.6,12.8,177,92,85,8,45
St Paul's Catholic Primary School,NT,Catholic,Primary,Outer Regional,1064,11.8,10.5,201,106,95,6,38
Muirden Senior College,SA,Independent,Secondary,Major Cities,,11.9,1,94,60,34,1,
Sacred Heart College,SA,Catholic,Combined,Major Cities,1067,129.4,64.7,1823,743,1080,2,8
Kinma School,NSW,Independent,Primary,Major Cities,1135,8.3,2.9,90,45,45,0,2
Knox Grammar School,NSW,Independent,Combined,Major Cities,1170,285.3,219.6,3030,77,2953,0,30
Moriah College,NSW,Independent,Combined,Major Cities,1135,161.9,66.4,1449,706,743,0,7
