School.Name,State,School.Sector,School.Type,Geolocation,ICSEA,Full.Time.Teaching.Staff,Full.Time.Non.Teaching.Staff,Total.Enrolments,Girls.Enrolments,Boys.Enrolments,Indigenous.Enrolments.Percentage,LBOTE.Percentage
Emu Park State School,QLD,Government,Primary,Inner Regional,953,30.9,16.1,485,222,263,11,3
Anakie State School,QLD,Government,Primary,Remote,891,4.8,4.3,64,31,33,19,2
Scottville State School,QLD,Government,Primary,Remote,929,2.9,3.1,43,24,19,19,7
Woombye State School,QLD,Government,Primary,Major Cities,1035,31.4,14.3,489,226,263,4,3
Winton State School,QLD,Government,Combined,Very Remote,915,11.1,7.8,92,34,58,22,1
Nashville State School,QLD,Government,Primary,Major Cities,1058,24.6,12.1,378,190,188,6,7
Benowa State School,QLD,Government,Primary,Major Cities,1071,59.2,22.9,884,443,441,2,52
Gympie East State School,QLD,Government,Primary,Inner Regional,997,10.2,6,169,68,101,2,3
Cameron Downs State School,QLD,Government,Primary,Very Remote,1066,1,1.7,11,5,6,0,0
Maryborough West State School,QLD,Government,Primary,Inner Regional,922,27.5,13.7,348,188,160,15,2
Stafford State School,QLD,Government,Primary,Major Cities,995,25.1,19.5,288,133,155,13,23
Prairie State School,QLD,Government,Primary,Very Remote,,1,1.3,5,3,2,40,0
Flagstone Creek State School,QLD,Government,Primary,Inner Regional,1050,3.4,2.2,39,25,14,3,5
Yandina State School,QLD,Government,Primary,Inner Regional,968,19.9,8.9,292,137,155,12,2
Teelba State School,QLD,Government,Primary,Remote,1097,2.5,2.2,21,9,12,0,0
Mount Whitestone State School,QLD,Government,Primary,Inner Regional,966,1.6,1.9,10,6,4,10,0
Bundaberg East State School,QLD,Government,Primary,Inner Regional,970,37.7,21.4,548,257,291,12,5
Townsville West State School,QLD,Government,Primary,Outer Regional,861,8.2,5.7,108,41,67,44,23
Toowoomba East State School,QLD,Government,Primary,Inner Regional,1053,53.7,17,852,405,447,6,18
Mackay West State School,QLD,Government,Primary,Inner Regional,974,44.8,20.1,641,308,333,10,14
Lockhart State School,QLD,Government,Combined,Very Remote,695,13.9,2.5,135,65,70,100,90
Dutton Park State School,QLD,Government,Primary,Major Cities,1122,23.2,8.3,349,179,170,3,35
Mungallala State School,QLD,Government,Primary,Very Remote,1004,1.2,2,5,4,1,0,40
Belgian Gardens State School,QLD,Government,Primary,Outer Regional,1066,41.4,14.2,581,286,295,6,10
Moonie State School,QLD,Government,Primary,Outer Regional,1038,2.4,2.8,26,13,13,4,0
Ashwell State School,QLD,Government,Primary,Inner Regional,918,4,3.6,53,22,31,8,0
Junction Park State School,QLD,Government,Primary,Major Cities,1116,31.1,11.8,508,259,249,3,34
Park Ridge State School,QLD,Government,Primary,Major Cities,965,41.6,21,610,322,288,9,15
Alpha State School,QLD,Government,Combined,Very Remote,903,9.6,6.4,43,21,22,26,10
Marian State School,QLD,Government,Primary,Outer Regional,984,38.9,18.6,578,285,293,5,2
Irvinebank State School,QLD,Government,Primary,Outer Regional,929,1.4,1.4,8,4,4,25,13
Darlington State School,QLD,Government,Primary,Inner Regional,998,3,2.3,28,11,17,7,4
Banana State School,QLD,Government,Primary,Outer Regional,954,3,2.5,31,14,17,6,0
Torbanlea State School,QLD,Government,Primary,Inner Regional,943,16.7,10.8,268,119,149,12,2
Forsayth State School,QLD,Government,Primary,Very Remote,,1.4,1.5,8,3,5,0,0
Wyreema State School,QLD,Government,Primary,Inner Regional,937,11,4.6,154,67,87,18,1
Morven State School,QLD,Government,Primary,Very Remote,906,2.2,2.2,11,5,6,9,0
Mount Morgan Central State School,QLD,Government,Primary,Inner Regional,860,13.8,8.6,206,97,109,32,2
Innisfail State School,QLD,Government,Primary,Outer Regional,765,17,9.8,139,55,84,77,17
Hampden State School,QLD,Government,Primary,Outer Regional,972,4.8,3.8,79,35,44,9,0
Burketown State School,QLD,Government,Primary,Very Remote,826,3,3.4,25,14,11,80,68
Barcaldine Prep-12 State School,QLD,Government,Combined,Very Remote,937,26.5,13.2,251,112,139,26,7
Walkervale State School,QLD,Government,Primary,Inner Regional,897,33.6,17.9,468,245,223,20,5
Jandowae Prep-10 State School,QLD,Government,Combined,Outer Regional,931,14.2,7.7,149,80,69,17,0
Hambledon State School,QLD,Government,Primary,Outer Regional,911,50,25.7,678,331,347,32,17
Bribie Island State School,QLD,Government,Primary,Inner Regional,952,41,19.7,629,341,288,14,8
Hillview State School,QLD,Government,Primary,Inner Regional,943,3,2.3,20,9,11,20,0
Glen Aplin State School,QLD,Government,Primary,Outer Regional,968,6.3,4.4,80,34,46,5,0
Eimeo Road State School,QLD,Government,Primary,Inner Regional,960,64.4,23.1,959,435,524,14,6
Sarina State School,QLD,Government,Primary,Outer Regional,916,30.9,15.3,438,198,240,24,6
Wulguru State School,QLD,Government,Primary,Outer Regional,872,25,11.3,302,140,162,37,20
Milton State School,QLD,Government,Primary,Major Cities,1155,44,15.9,685,350,335,1,13
Gogango State School,QLD,Government,Primary,Outer Regional,887,1.3,1.3,8,2,6,0,0
Oonoonba State School,QLD,Government,Primary,Outer Regional,999,36.5,15.8,516,261,255,9,7
Gympie West State School,QLD,Government,Primary,Inner Regional,961,39.2,26.5,507,249,258,12,3
Canungra State School,QLD,Government,Primary,Inner Regional,1009,22.7,10.7,352,175,177,7,4
Childers State School,QLD,Government,Primary,Inner Regional,937,22.1,13.8,319,141,178,13,2
Beerwah State School,QLD,Government,Primary,Inner Regional,973,23.1,13.1,287,148,139,11,5
Brassall State School,QLD,Government,Primary,Major Cities,933,50.3,24.7,778,372,406,17,7
Avondale State School,QLD,Government,Primary,Inner Regional,928,1.5,2,14,4,10,29,14
Glenmore State School,QLD,Government,Primary,Inner Regional,901,32.5,17.7,424,200,224,29,11
Ipswich East State School,QLD,Government,Primary,Major Cities,918,35.9,18.1,329,170,159,21,9
Richmond State School,QLD,Government,Combined,Very Remote,943,11.6,7.5,78,33,45,12,0
Tin Can Bay State School,QLD,Government,Combined,Inner Regional,907,25,15.4,272,128,144,18,3
Theebine State School,QLD,Government,Primary,Inner Regional,967,1.2,1.4,6,4,2,0,0
Eidsvold State School,QLD,Government,Combined,Outer Regional,826,12.2,8.4,78,43,35,49,36
Roadvale State School,QLD,Government,Primary,Inner Regional,979,3.8,2.8,48,22,26,2,2
Laura State School,QLD,Government,Primary,Very Remote,,1.5,2,13,5,8,92,27
Watson Road State School,QLD,Government,Primary,Major Cities,877,9.2,10.1,122,52,70,16,52
Indooroopilly State School,QLD,Government,Primary,Major Cities,1179,68.7,23.7,1230,584,646,1,62
Cannonvale State School,QLD,Government,Primary,Outer Regional,994,56.4,20.4,809,392,417,5,10
Serviceton South State School,QLD,Government,Primary,Major Cities,909,27.5,16.4,386,200,186,13,61
Abercorn State School,QLD,Government,Primary,Outer Regional,1016,1.5,1.7,18,9,9,0,11
Palmwoods State School,QLD,Government,Primary,Major Cities,1024,31.3,13,462,232,230,5,4
Eatons Hill State School,QLD,Government,Primary,Major Cities,1060,66.3,26.4,1110,532,578,2,9
Boulia State School,QLD,Government,Primary,Very Remote,802,3,3.7,33,17,16,64,8
Airville State School,QLD,Government,Primary,Outer Regional,891,1.4,2.4,11,5,6,45,0
Burpengary State School,QLD,Government,Primary,Major Cities,978,59,26.9,957,480,477,8,7
Cooran State School,QLD,Government,Primary,Inner Regional,1014,10.4,6.6,152,65,87,7,6
Jimboomba State School,QLD,Government,Primary,Inner Regional,962,51.6,22.4,831,388,443,12,14
Kallangur State School,QLD,Government,Primary,Major Cities,951,53.5,28.2,870,402,468,13,14
Clarke Creek State School,QLD,Government,Primary,Remote,953,1.8,2.3,14,3,11,0,0
Mackenzie State Primary School,QLD,Government,Primary,Major Cities,1083,9.1,5,139,60,79,2,34
Aspley State School,QLD,Government,Primary,Major Cities,1095,43.8,18,732,360,372,3,36
Bluewater State School,QLD,Government,Primary,Outer Regional,964,26.7,12.7,406,192,214,11,3
Ropeley State School,QLD,Government,Primary,Inner Regional,,1.2,0.7,4,1,3,0,0
Greenslopes State School,QLD,Government,Primary,Major Cities,1102,20.1,9.9,317,141,176,5,31
Woodstock State School,QLD,Government,Primary,Outer Regional,958,3.1,2.9,45,20,25,13,2
Kippa-Ring State School,QLD,Government,Primary,Major Cities,939,24.3,14.7,335,162,173,16,13
Woorabinda State School,QLD,Government,Primary,Remote,664,15,11.5,163,82,81,100,51
Oakwood State School,QLD,Government,Primary,Inner Regional,965,8.4,5.6,137,71,66,4,2
Harrisville State School,QLD,Government,Primary,Inner Regional,982,5.6,4.1,65,34,31,3,2
Sunbury State School,QLD,Government,Primary,Inner Regional,912,15.4,10.4,210,106,104,20,6
Victoria Plantation State School,QLD,Government,Primary,Outer Regional,950,2.5,2.6,26,10,16,15,19
Tolga State School,QLD,Government,Primary,Outer Regional,991,20.6,9.9,310,159,151,10,1
Wishart State School,QLD,Government,Primary,Major Cities,1111,47.6,24.2,836,434,402,2,47
Bundaberg South State School,QLD,Government,Primary,Inner Regional,912,10.8,8.5,178,90,88,24,7
Coolabunia State School,QLD,Government,Primary,Inner Regional,1013,6.5,4.8,106,54,52,0,1
Parramatta State School,QLD,Government,Primary,Outer Regional,848,38.7,18.7,312,163,149,55,57
Maroon State School,QLD,Government,Primary,Inner Regional,921,1.5,2,12,4,8,17,0
Woodridge North State School,QLD,Government,Primary,Major Cities,921,38.8,19.9,527,267,260,11,51
Jones Hill State School,QLD,Government,Primary,Inner Regional,983,28.1,13.9,410,211,199,7,1
Mareeba State School,QLD,Government,Primary,Outer Regional,883,64.6,33.9,864,399,465,39,22
Mirani State School,QLD,Government,Primary,Outer Regional,968,19.8,10.1,360,181,179,9,3
Mount Gravatt East State School,QLD,Government,Primary,Major Cities,987,18.4,11.4,284,147,137,8,44
Ingleside State School,QLD,Government,Primary,Major Cities,1055,7.7,3.9,113,49,64,4,4
Mudgeeraba State School,QLD,Government,Primary,Major Cities,1028,50.8,18.9,808,396,412,5,8
Biggenden State School,QLD,Government,Combined,Outer Regional,904,11.6,9.2,100,38,62,23,2
Widgee State School,QLD,Government,Primary,Inner Regional,947,2.5,3.4,54,25,29,11,0
Keppel Sands State School,QLD,Government,Primary,Outer Regional,893,2.5,2,25,14,11,36,0
Dalby South State School,QLD,Government,Primary,Inner Regional,989,43.1,21.4,640,349,291,20,4
Peachester State School,QLD,Government,Primary,Inner Regional,999,7.5,4.3,108,58,50,14,7
Theodore State School,QLD,Government,Combined,Outer Regional,982,12.6,6.8,124,58,66,15,3
Chelona State School,QLD,Government,Primary,Outer Regional,980,6.2,4.4,106,45,61,8,5
Kilcoy State School,QLD,Government,Primary,Inner Regional,983,19.7,11.4,311,157,154,6,29
Beechmont State School,QLD,Government,Primary,Inner Regional,1037,7,5,118,58,60,8,7
Eudlo State School,QLD,Government,Primary,Inner Regional,978,4.6,3.6,51,25,26,8,12
Delaneys Creek State School,QLD,Government,Primary,Inner Regional,981,12.4,6.2,172,88,84,6,3
Clifton State School,QLD,Government,Primary,Inner Regional,962,8,4.5,97,45,52,9,12
Mount Mee State School,QLD,Government,Primary,Inner Regional,1006,4.6,3.7,65,29,36,2,5
Somerset Hills State School,QLD,Government,Primary,Major Cities,958,11.7,9,114,51,63,19,17
Greenbank State School,QLD,Government,Primary,Major Cities,1007,66.6,25.9,1087,513,574,5,10
Forest Hill State School,QLD,Government,Primary,Inner Regional,952,10.2,4.7,142,74,68,11,1
Eumundi State School,QLD,Government,Primary,Inner Regional,1054,41.1,15.6,654,332,322,4,7
Moffatdale State School,QLD,Government,Primary,Outer Regional,920,3.1,3.9,36,14,22,39,17
Bargara State School,QLD,Government,Primary,Inner Regional,987,25.4,14.6,429,201,228,10,7
Woodridge State School,QLD,Government,Primary,Major Cities,880,68.6,35.1,793,389,404,7,70
Marshall Road State School,QLD,Government,Primary,Major Cities,1126,31,13,503,238,265,1,16
Gindie State School,QLD,Government,Primary,Remote,1024,2.5,2.2,32,17,15,0,6
Kentville State School,QLD,Government,Primary,Inner Regional,901,2.9,4,40,21,19,23,0
Longreach State School,QLD,Government,Primary,Very Remote,986,17.6,9.9,202,94,108,14,3
Ilfracombe State School,QLD,Government,Primary,Very Remote,1028,1.5,1.6,12,4,8,0,8
Camooweal State School,QLD,Government,Primary,Very Remote,711,3,3.3,31,19,12,90,31
Redbank State School,QLD,Government,Primary,Major Cities,916,12.7,9.7,186,90,96,15,25
Pomona State School,QLD,Government,Primary,Inner Regional,1034,22,9.3,324,173,151,2,2
Richlands East State School,QLD,Government,Primary,Major Cities,910,37.1,21.5,532,254,278,14,65
Mundoo State School,QLD,Government,Primary,Outer Regional,923,3.6,3.2,37,16,21,22,16
Eagle Junction State School,QLD,Government,Primary,Major Cities,1157,53.3,17.9,886,462,424,1,32
North Eton State School,QLD,Government,Primary,Outer Regional,912,1.4,2.1,16,10,6,19,0
Richmond Hill State School,QLD,Government,Primary,Outer Regional,917,26.2,12.2,338,167,171,26,4
Cecil Plains State School,QLD,Government,Combined,Outer Regional,933,9.4,7.4,53,30,23,21,0
Mount Nebo State School,QLD,Government,Primary,Inner Regional,1071,3.2,2.6,32,15,17,16,22
Blackbutt State School,QLD,Government,Primary,Outer Regional,921,10.2,9.2,152,81,71,7,1
Gladstone West State School,QLD,Government,Primary,Inner Regional,962,43.8,24.2,648,308,340,13,10
Mackay North State School,QLD,Government,Primary,Inner Regional,946,28.8,12.2,421,216,205,16,9
Givelda State School,QLD,Government,Primary,Inner Regional,,1.2,1.6,8,4,4,0,0
Kindon State School,QLD,Government,Primary,Outer Regional,912,1.3,1.4,5,3,2,20,0
Yorkeys Knob State School,QLD,Government,Primary,Outer Regional,1011,15.7,9.1,277,137,140,18,23
Machans Beach State School,QLD,Government,Primary,Outer Regional,980,7.9,4.2,123,59,64,24,38
Rosedale State School,QLD,Government,Combined,Outer Regional,911,25.8,16.5,268,143,125,18,3
Walkamin State School,QLD,Government,Primary,Outer Regional,952,3.3,2.9,58,19,39,12,2
Crescent Lagoon State School,QLD,Government,Primary,Inner Regional,943,28.8,12.5,424,200,224,24,5
Glennie Heights State School,QLD,Government,Primary,Inner Regional,870,14.2,6.3,167,78,89,34,1
Millaa Millaa State School,QLD,Government,Primary,Outer Regional,902,4,4.6,65,40,25,25,20
Bracken Ridge State School,QLD,Government,Primary,Major Cities,972,28.7,12.8,374,172,202,13,21
Alligator Creek State School,QLD,Government,Primary,Outer Regional,967,19.6,10.8,329,152,177,8,3
Currumbin Valley State School,QLD,Government,Primary,Inner Regional,1060,9.5,5.3,163,83,80,6,10
Montville State School,QLD,Government,Primary,Inner Regional,1047,5.9,4.9,81,36,45,4,10
Barkly Highway State School,QLD,Government,Primary,Remote,948,31.1,11.2,402,182,220,22,11
Proserpine State School,QLD,Government,Primary,Outer Regional,966,41.2,20.2,579,274,305,12,4
Bell State School,QLD,Government,Combined,Outer Regional,969,11.6,8.2,93,36,57,6,4
Dunwich State School,QLD,Government,Primary,Remote,923,12.5,11.3,185,89,96,45,8
Numinbah Valley State School,QLD,Government,Primary,Inner Regional,958,1.9,1.8,15,5,10,0,20
Kilcummin State School,QLD,Government,Primary,Remote,1019,2.3,2.7,32,21,11,0,0
Atherton State School,QLD,Government,Primary,Outer Regional,919,32.9,19.4,444,198,246,31,9
Gordonvale State School,QLD,Government,Primary,Outer Regional,900,33.8,18.2,494,256,238,37,19
Miriam Vale State School,QLD,Government,Combined,Outer Regional,965,13.8,8.8,146,79,67,5,1
Jarvisfield State School,QLD,Government,Primary,Outer Regional,835,1.9,2.1,15,9,6,47,0
Aitkenvale State School,QLD,Government,Primary,Outer Regional,876,40.2,16.5,524,251,273,27,47
Wyandra State School,QLD,Government,Primary,Very Remote,921,1.5,1.8,9,5,4,11,0
Thulimbah State School,QLD,Government,Primary,Outer Regional,869,2.7,2.6,35,17,18,17,3
Merinda State School,QLD,Government,Primary,Outer Regional,903,4,3.1,47,20,27,26,2
Goondi State School,QLD,Government,Primary,Outer Regional,944,22.2,12.8,340,177,163,21,27
Feluga State School,QLD,Government,Primary,Outer Regional,888,2.4,2.5,40,21,19,30,10
Arcadia Valley State School,QLD,Government,Primary,Remote,,1,1.3,6,3,3,0,0
Bowenville State School,QLD,Government,Primary,Inner Regional,1030,1.4,2.1,14,6,8,0,0
Gundiah State School,QLD,Government,Primary,Inner Regional,934,2,2.4,25,13,12,0,0
Gladstone South State School,QLD,Government,Primary,Inner Regional,903,24.3,15.9,354,180,174,21,16
Pallara State School,QLD,Government,Primary,Major Cities,1040,37.8,15.5,623,293,330,3,38
Depot Hill State School,QLD,Government,Primary,Inner Regional,876,4,3.7,67,35,32,24,0
Happy Valley State School,QLD,Government,Primary,Remote,973,26.1,11.3,385,186,199,20,14
Vale View State School,QLD,Government,Primary,Inner Regional,1026,5.3,3.6,86,42,44,6,3
Flying Fish Point State School,QLD,Government,Primary,Outer Regional,846,2.7,4.2,45,15,30,33,38
Bunker's Hill State School,QLD,Government,Primary,Inner Regional,1000,16.3,7.3,259,131,128,3,1
Wellcamp State School,QLD,Government,Primary,Inner Regional,989,5.6,3.6,84,43,41,11,0
Caloundra State School,QLD,Government,Primary,Major Cities,1012,38.2,16.1,552,269,283,10,9
Tingoora State School,QLD,Government,Primary,Outer Regional,949,2.8,2.8,35,10,25,14,0
Chillagoe State School,QLD,Government,Primary,Very Remote,778,2,2.8,21,11,10,57,8
Millaroo State School,QLD,Government,Primary,Remote,1006,1.3,2,8,4,4,0,0
Kennedy State School,QLD,Government,Primary,Remote,824,1.4,2.9,15,7,8,60,7
Veresdale Scrub State School,QLD,Government,Primary,Inner Regional,958,8.2,5,143,76,67,14,3
Aloomba State School,QLD,Government,Primary,Outer Regional,1026,5.6,3,87,43,44,6,8
Murgon State School,QLD,Government,Primary,Inner Regional,846,20.4,15,235,112,123,51,14
Hermit Park State School,QLD,Government,Primary,Outer Regional,1034,41.6,15.4,652,304,348,9,11
East Brisbane State School,QLD,Government,Primary,Major Cities,1096,20.1,9.7,253,132,121,5,49
Mapleton State School,QLD,Government,Primary,Inner Regional,1049,13.7,7.2,198,100,98,3,3
Ubobo State School,QLD,Government,Primary,Outer Regional,,1.9,1.5,,,,,
Wolvi State School,QLD,Government,Primary,Inner Regional,991,2.4,2.7,31,12,19,3,0
Lota State School,QLD,Government,Primary,Major Cities,1037,13.8,7.3,214,108,106,3,11
Drillham State School,QLD,Government,Primary,Outer Regional,1026,2.6,2.6,42,15,27,5,0
Dagun State School,QLD,Government,Primary,Inner Regional,1005,2.4,3.2,29,12,17,21,0
Buranda State School,QLD,Government,Primary,Major Cities,1142,15.7,8.6,253,128,125,2,40
Moranbah State School,QLD,Government,Primary,Outer Regional,995,41.8,22.1,624,300,324,8,11
Bororen State School,QLD,Government,Primary,Outer Regional,907,2.7,2.7,34,14,20,18,0
Harlin State School,QLD,Government,Primary,Inner Regional,952,4,2.3,51,24,27,4,4
Bajool State School,QLD,Government,Primary,Outer Regional,1053,3.2,2.4,44,21,23,9,0
East Ayr State School,QLD,Government,Primary,Outer Regional,959,37.9,14.3,552,262,290,15,2
Jundah State School,QLD,Government,Primary,Very Remote,982,1.5,1.6,10,7,3,20,0
Tamborine Mountain State School,QLD,Government,Primary,Major Cities,1059,39.4,18.1,588,289,299,3,8
Chatsworth State School,QLD,Government,Primary,Inner Regional,955,18.1,9.4,242,110,132,8,4
Glenmorgan State School,QLD,Government,Primary,Remote,1003,1.3,1.3,9,7,2,0,0
Wowan State School,QLD,Government,Primary,Outer Regional,967,2.5,2.3,25,14,11,12,0
Parkhurst State School,QLD,Government,Primary,Inner Regional,970,31,13.8,430,206,224,10,4
Kenmore State School,QLD,Government,Primary,Major Cities,1130,23.9,12.2,371,172,199,0,40
Greenlands State School,QLD,Government,Primary,Outer Regional,1027,6.2,4.2,96,48,48,0,5
Norman Park State School,QLD,Government,Primary,Major Cities,1135,29.5,11.2,463,240,223,2,22
Caravonica State School,QLD,Government,Primary,Outer Regional,1010,38.3,16.4,541,245,296,11,19
Moura State School,QLD,Government,Primary,Outer Regional,959,18.8,11.7,257,105,152,10,4
Stonehenge State School,QLD,Government,Primary,Very Remote,,1.3,1.1,3,0,3,33,0
Dunkeld State School,QLD,Government,Primary,Remote,,1.2,1.5,5,5,0,0,0
Goodwood State School,QLD,Government,Primary,Inner Regional,1011,2.2,3.1,38,23,15,0,16
Frenchville State School,QLD,Government,Primary,Inner Regional,1022,59.4,25.5,935,459,476,9,13
New Farm State School,QLD,Government,Primary,Major Cities,1120,30.8,14.9,509,267,242,1,33
Mount Garnet State School,QLD,Government,Primary,Remote,808,3.5,3.8,47,21,26,45,4
Torquay State School,QLD,Government,Primary,Inner Regional,939,28.5,15.6,411,208,203,21,7
Wooroolin State School,QLD,Government,Primary,Outer Regional,907,2.6,3.7,41,25,16,12,0
Vincent State School,QLD,Government,Primary,Outer Regional,755,23.5,17.9,148,73,75,78,42
Dallarnil State School,QLD,Government,Primary,Outer Regional,944,2.5,2.5,30,15,15,7,0
Bli Bli State School,QLD,Government,Primary,Major Cities,1014,41.8,19.1,676,332,344,5,6
Elimbah State School,QLD,Government,Primary,Major Cities,996,29.7,14,476,229,247,7,4
Hebel State School,QLD,Government,Primary,Very Remote,974,1.3,1.5,9,7,2,22,11
Mourilyan State School,QLD,Government,Primary,Outer Regional,976,11.5,7.4,155,61,94,14,4
Quinalow Prep-10 State School,QLD,Government,Combined,Inner Regional,944,12.8,6.1,68,34,34,1,0
Durack State School,QLD,Government,Primary,Major Cities,945,47.7,26.8,659,293,366,11,76
Bullyard State School,QLD,Government,Primary,Inner Regional,912,2.7,3,44,19,25,14,14
Sunset State School,QLD,Government,Primary,Remote,796,22.3,10.3,256,123,133,69,20
Bauple State School,QLD,Government,Primary,Inner Regional,954,2.2,3.2,35,15,20,6,0
Yarraman State School,QLD,Government,Combined,Inner Regional,902,14,10.5,150,81,69,10,2
Runcorn State School,QLD,Government,Primary,Major Cities,1052,29.5,11.9,434,208,226,3,52
Raceview State School,QLD,Government,Primary,Major Cities,960,65.2,22.9,966,473,493,13,12
Greenmount State School,QLD,Government,Primary,Inner Regional,1000,2.6,3.3,41,18,23,5,0
Harlaxton State School,QLD,Government,Primary,Inner Regional,821,14.5,10.8,169,96,73,30,44
Linville State School,QLD,Government,Primary,Outer Regional,935,2.1,2.1,22,12,10,9,5
Bloomsbury State School,QLD,Government,Primary,Outer Regional,898,2.8,3.4,35,14,21,17,3
Park Avenue State School,QLD,Government,Primary,Inner Regional,913,14.9,19.5,125,51,74,27,3
Cherbourg State School,QLD,Government,Primary,Inner Regional,575,19,26.6,158,81,77,100,58
Mutchilba State School,QLD,Government,Primary,Outer Regional,933,1.8,2.5,18,7,11,28,6
Kingaroy State School,QLD,Government,Primary,Inner Regional,920,39.8,22.4,499,239,260,18,6
Biboohra State School,QLD,Government,Primary,Outer Regional,961,5.2,4.8,80,39,41,13,8
Dirranbandi P-10 State School,QLD,Government,Combined,Very Remote,861,10.6,7.7,62,31,31,42,2
Yungaburra State School,QLD,Government,Primary,Outer Regional,1031,14.3,8.9,205,102,103,8,7
Aspley East State School,QLD,Government,Primary,Major Cities,1055,56.7,23.2,876,412,464,2,30
Gleneagle State School,QLD,Government,Primary,Inner Regional,926,15.2,8.7,211,94,117,13,5
Severnlea State School,QLD,Government,Primary,Outer Regional,998,4.2,2.4,70,29,41,6,7
Tully State School,QLD,Government,Primary,Outer Regional,890,21.4,16.5,234,101,133,30,15
Lake Clarendon State School,QLD,Government,Primary,Inner Regional,970,11.8,5.7,171,71,100,11,4
Lower Tully State School,QLD,Government,Primary,Outer Regional,885,3.5,3.8,58,28,30,21,4
Stafford Heights State School,QLD,Government,Primary,Major Cities,1046,9.3,8.3,157,71,86,18,16
The Caves State School,QLD,Government,Primary,Inner Regional,980,4.9,3.8,84,34,50,6,0
Bedourie State School,QLD,Government,Primary,Very Remote,947,1,1.4,14,7,7,21,8
Daintree State School,QLD,Government,Primary,Outer Regional,1048,1.1,2,13,5,8,0,0
Corinda State School,QLD,Government,Primary,Major Cities,1092,42.8,15.4,583,286,297,3,40
Seven Hills State School,QLD,Government,Primary,Major Cities,1121,30.4,14.1,526,251,275,2,14
Farnborough State School,QLD,Government,Primary,Outer Regional,1010,18.7,10.1,324,153,171,9,7
Murray River Upper State School,QLD,Government,Primary,Outer Regional,814,2.5,2.9,30,12,18,67,3
Brooweena State School,QLD,Government,Primary,Inner Regional,989,1.4,2.3,14,6,8,7,0
Mount Tyson State School,QLD,Government,Primary,Inner Regional,968,3.9,3.4,57,24,33,9,3
Bardon State School,QLD,Government,Primary,Major Cities,1179,21.3,9.4,327,155,172,2,11
Carole Park State School,QLD,Government,Primary,Major Cities,880,14,15.1,199,108,91,24,45
Bymount East State School,QLD,Government,Primary,Remote,1093,1,1,6,0,6,0,0
Grantham State School,QLD,Government,Primary,Inner Regional,928,6.5,4.3,86,44,42,8,0
Grosmont State School,QLD,Government,Primary,Remote,,1.2,0.7,2,0,2,0,0
Hayman Island State School,QLD,Government,Primary,Very Remote,,1.4,0.7,6,2,4,0,0
Lockrose State School,QLD,Government,Primary,Inner Regional,844,4.4,3.3,40,21,19,25,0
Wondai State School,QLD,Government,Combined,Outer Regional,862,15.7,11,133,59,74,24,9
Branyan Road State School,QLD,Government,Primary,Inner Regional,973,26.3,13.3,436,228,208,8,3
Mount Isa Central State School,QLD,Government,Primary,Remote,868,25,15.1,258,131,127,47,26
Toogoolawah State School,QLD,Government,Primary,Inner Regional,956,13.3,7.8,181,80,101,6,1
Broadwater State School,QLD,Government,Primary,Outer Regional,946,3.5,4.3,53,20,33,6,2
Kogan State School,QLD,Government,Primary,Outer Regional,838,2.7,2.3,28,13,15,25,4
Cooyar State School,QLD,Government,Primary,Outer Regional,993,3,2,30,16,14,0,0
Glenore Grove State School,QLD,Government,Primary,Inner Regional,936,9.3,6.9,165,75,90,11,2
Mayfield State School,QLD,Government,Primary,Major Cities,1073,18.8,10.1,289,147,142,2,12
Taabinga State School,QLD,Government,Primary,Inner Regional,936,24.3,14.3,375,187,188,11,5
Yarwun State School,QLD,Government,Primary,Outer Regional,1029,2.8,2.6,34,22,12,0,3
Mount Molloy State School,QLD,Government,Primary,Outer Regional,872,2.8,4.9,40,16,24,38,18
Mount Tarampa State School,QLD,Government,Primary,Inner Regional,888,3.7,3.8,58,22,36,31,2
Taigum State School,QLD,Government,Primary,Major Cities,974,30.4,16.2,414,208,206,12,44
Inala State School,QLD,Government,Primary,Major Cities,903,36.3,24.8,496,233,263,11,76
Trebonne State School,QLD,Government,Primary,Remote,930,1.4,2.4,18,7,11,33,0
Lochington State School,QLD,Government,Primary,Remote,,1.2,1.2,5,2,3,0,0
Milman State School,QLD,Government,Primary,Outer Regional,932,1.5,1.4,7,4,3,14,0
Marmor State School,QLD,Government,Primary,Outer Regional,864,1.8,2,12,9,3,42,0
Builyan State School,QLD,Government,Primary,Outer Regional,1040,1,1.5,8,6,2,0,0
Burra Burri State School,QLD,Government,Primary,Outer Regional,,1.6,1.3,5,0,5,0,0
Hamilton State School,QLD,Government,Primary,Major Cities,1042,7.6,4.6,123,59,64,4,37
Seville Road State School,QLD,Government,Primary,Major Cities,1012,13.8,6.2,133,64,69,5,39
Brigalow State School,QLD,Government,Primary,Outer Regional,973,3.1,2.6,39,22,17,3,0
Grovely State School,QLD,Government,Primary,Major Cities,1033,22.8,11.4,366,172,194,10,21
Lowmead State School,QLD,Government,Primary,Outer Regional,932,1.1,1.9,11,7,4,0,0
Pinnacle State School,QLD,Government,Primary,Outer Regional,987,1.2,2,12,10,2,17,17
Kenmore South State School,QLD,Government,Primary,Major Cities,1163,40.7,17.7,639,311,328,1,26
Karara State School,QLD,Government,Primary,Outer Regional,,1.2,1.3,6,3,3,0,0
